"Template Risk Control Matrix (w/ COSO Guidance)
2017 AICPA SOC 2 Criteria",,,,,,,,, , , , 
TSC Ref. #,Criteria,Control Ref #,Control Ref Title,Repeat Control?,Control Description,Test Procedures Report,Document Request,Risk,Operational Group,Unique ID,Mapped Controls (for repeat),Sample Selection Requested (Y/N)
CC3.2,COSO Principle 7: The entity identifies risks to the achievement of its objectives across The Entity and analyzes risks as a basis for determining how the risks should be managed. ,CC3.2.1,Annual Risk Assessment,No,"Management performs a risk assessment on a [insert frequency] basis that includes the identification and assessment of risks to achieving the objectives related to its [security, availability, confidentiality, processing integrity, or privacy] requirements and commitments.  Identified risks are rated and documented within a risk register for managements review. ",Inspected the risk register and evidence of management review to determine whether management performs a risk assessment on a [insert frequency] basis and identified risks are rated and documented within a risk register for managements review. ,"CC3.2.1A - Risk Register

CC3.2.1B - Management Review and Approval of the Risk Register",High,Internal Audit,SOC 2-2 035,,No
,,CC3.2.2,Risk Mitigation,No,Management selects and/or develops control activities to mitigate risks identified during the risk assessment to an acceptable level.  ,Inspected the risk register and/or mitigation plans to determine whether management selects and/or develops control activities to mitigate risks identified during the risk assessment to an acceptable level.  ,"CC3.2.1A - Risk Register

CC3.2.2A - Risk Mitigation Plans",Low,Internal Audit,SOC 2-2 036,,No
,,CC3.2.3,Mangement Risk Review,No,The results of the risk assessment along with mitigation plans are presented to management for review on a [insert frequency] basis. ,Inspected management review and approval of the risk register to determine whether the results of the risk assessment along with mitigation plans are presented to management for review on a [insert frequency] basis. ,CC3.2.1B - Management Review and Approval of the Risk Register,Low,Internal Audit,SOC 2-2 037,,No
Logical and Physical Access Controls,,,,,,,,, , ,,
CC6.1,"The Entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the Entity's objectives.",CC6.1.1,Inventory of Assets,No,"An inventory of information technology assets (physical and virtual) is maintained, reviewed, and updated at least annually. ","Inspected the asset inventory listing and evidence of review to determine whether an inventory of information technology assets (physical and virtual) is maintained, reviewed, and updated at least annually. ","CC6.1.1A - Asset Inventory Listing

CC6.1.1B - Annual Asset Inventory Listing Review",Low,Information Technology,SOC 2-2 060,,No
,,CC6.1.2,Multi-Factor Authentication,No,"The in-scope systems (servers, databases, network domain, and applications) are configured to enforce multi-factor authentication. ","Inspected multifactor authentication configurations to determine whether the in-scope systems (servers, databases, network domain, and applications) are configured to enforce multi-factor authentication. ","CC6.1.2A - Network Domain MFA Authentication Configurations

CC6.1.2B - Production Server MFA Authentication Configurations

CC6.1.2C - Production Database MFA Authentication Configurations

CC6.1.2D - Production Application MFA Authentication Configurations",Low,Information Technology,SOC 2-2 061,,No
,,CC6.1.3,Password Requirements ,No,The in-scope systems are configured to enforce predefined minimum password requirements and enforce account lock out in accordance with the Company password policy. ,Inspected the authentication configurations to determine whether the in-scope systems are configured to enforce predefined minimum password requirements and enforce account lock out in accordance with the Company password policy. ,"CC6.1.3A - Network Domain Minimum Password and Account Lockout Configurations

CC6.1.3B - Production Server Minimum Password and Account Lockout Configurations

CC6.1.3C - Production Database Minimum Password and Account Lockout Configurations

CC6.1.3D - Production Application Minimum Password and Account Lockout Configurations

CC6.1.3E - Cloud Management Console Minimum Password and Account Lockout Configurations",Low,Information Technology,SOC 2-2 062,,No
,,CC6.1.4,Firewalls/Security Groups,No,"OPTION 1: Network firewalls are in place and configured to filter unauthorized inbound traffic from the internet.

Option 2: AWS security groups that act as a virtual firewall system are used to filter unauthorized inbound traffic from the internet. ","OPTION 1: Inspected the network firewall ruleset configurations to determine whether network firewalls are in place and configured to filter unauthorized inbound traffic from the internet.

OPTION 2: Inspected the AWS Security Group configurations to determine whether AWS security groups that act as a virtual firewall system are used to filter unauthorized inbound traffic from the internet. ",CC6.1.4A - Network Firewall Ruleset Configurations OR AWS Security Group Configurations,Low,Information Technology,SOC 2-2 063,,No
